Core no. ,Sample,Shifted Depth,Depth,"Kg, hor.","1/Pm, hor.","Kl, hor","Kg, vert.","1/Pm, vert.","Kl, vert.","Por., hor.","Por., vert.",Por. sum.,So,Sw,Gr.dens.,Gr.dens.,Lithological description
3,184,3882.8,3882.2,60.3,0.855,52.9,  ,  ,  ,21.1,  ,  ,  ,  ,2.65,  ,A.A. 
3,185,3883,3882.4,77.5,0.907,68.3,73.6,0.88,64.9,29,  ,  ,  ,  ,2.65,  ,A.A. 
3,186,3883.25,3882.65,79.1,0.907,69.7,  ,  ,  ,21.9,  ,  ,  ,  ,2.65,  ,A.A. 
3,187,3883.43,3882.83,  ,  ,  ,  ,  ,  ,  ,21.4,  ,60.4,21.1,  ,2.66, 
3,188,3883.5,3882.9,74.4,0.88,65.7,  ,  ,  ,21.9,  ,  ,  ,  ,2.66,  ,A.A.fis. 
3,189,3883.8,3883.2,95.2,0.907,84.6,  ,  ,  ,21.9,  ,  ,  ,  ,2.65,  ,A.A. 
3,190,3884.1,3883.5,63.9,0.88,56,45.4,0.83,39.3,18.7,  ,  ,  ,  ,2.66,  ,A.A. 
3,191,3884.35,3883.75,58.8,0.855,51.4,  ,  ,  ,17,  ,  ,  ,  ,2.67,  ,A.A. 
3,192,3884.52,3883.92,  ,  ,  ,  ,  ,  ,  ,17.8,  ,58.1,21.4,  ,2.7, 
3,193,3884.6,3884,56,0.855,48.9,  ,  ,  ,17.3,  ,  ,  ,  ,2.69,  ,A.A.P-srt.incr Pyr. 
3,194,3884.85,3884.25,62.8,0.855,55.2,  ,  ,  ,17.1,  ,  ,  ,  ,2.67,  ,A.A.Fr-srt.decr Pyr. 
